month,day,sunrise,sunset
1,1,448,1909
1,2,449,1910
1,3,449,1910
1,4,450,1910
1,5,451,1910
1,6,452,1910
1,7,453,1910
1,8,453,1910
1,9,454,1910
1,10,455,1910
1,11,456,1910
1,12,457,1910
1,13,458,1910
1,14,459,1909
1,15,500,1909
1,16,501,1909
1,17,502,1909
1,18,503,1908
1,19,504,1908
1,20,505,1908
1,21,506,1907
1,22,507,1907
1,23,508,1906
1,24,509,1906
1,25,510,1905
1,26,511,1905
1,27,512,1904
1,28,513,1903
1,29,514,1903
1,30,515,1902
1,31,516,1901
2,1,517,1901
2,2,518,1900
2,3,519,1859
2,4,520,1858
2,5,521,1858
2,6,522,1857
2,7,523,1856
2,8,524,1855
2,9,525,1854
2,10,525,1853
2,11,526,1852
2,12,527,1851
2,13,528,1850
2,14,529,1849
2,15,530,1848
2,16,531,1847
2,17,532,1846
2,18,533,1845
2,19,534,1844
2,20,535,1843
2,21,536,1842
2,22,537,1841
2,23,538,1840
2,24,539,1838
2,25,539,1837
2,26,540,1836
2,27,541,1835
2,28,542,1834
3,1,543,1832
3,2,544,1831
3,3,545,1830
3,4,545,1829
3,5,546,1827
3,6,547,1826
3,7,548,1825
3,8,549,1823
3,9,550,1822
3,10,550,1821
3,11,551,1819
3,12,552,1818
3,13,553,1817
3,14,554,1815
3,15,554,1814
3,16,555,1813
3,17,556,1811
3,18,557,1810
3,19,557,1809
3,20,558,1807
3,21,559,1806
3,22,600,1805
3,23,600,1803
3,24,601,1802
3,25,602,1801
3,26,603,1759
3,27,604,1758
3,28,604,1757
3,29,605,1755
3,30,606,1754
3,31,607,1753
4,1,607,1751
4,2,608,1750
4,3,609,1749
4,4,609,1747
4,5,610,1746
4,6,611,1745
4,7,612,1743
4,8,612,1742
4,9,613,1741
4,10,614,1739
4,11,615,1738
4,12,615,1737
4,13,616,1736
4,14,617,1734
4,15,618,1733
4,16,618,1732
4,17,619,1731
4,18,620,1729
4,19,621,1728
4,20,621,1727
4,21,622,1726
4,22,623,1725
4,23,624,1724
4,24,624,1722
4,25,625,1721
4,26,626,1720
4,27,627,1719
4,28,627,1718
4,29,628,1717
4,30,629,1716
5,1,630,1715
5,2,630,1714
5,3,631,1713
5,4,632,1712
5,5,633,1711
5,6,633,1710
5,7,634,1709
5,8,635,1709
5,9,636,1708
5,10,636,1707
5,11,637,1706
5,12,638,1705
5,13,639,1704
5,14,639,1704
5,15,640,1703
5,16,641,1702
5,17,642,1702
5,18,642,1701
5,19,643,1700
5,20,644,1700
5,21,644,1659
5,22,645,1659
5,23,646,1658
5,24,647,1658
5,25,647,1657
5,26,648,1657
5,27,648,1656
5,28,649,1656
5,29,650,1655
5,30,650,1655
5,31,651,1655
6,1,652,1654
6,2,652,1654
6,3,653,1654
6,4,653,1654
6,5,654,1654
6,6,654,1653
6,7,655,1653
6,8,655,1653
6,9,656,1653
6,10,656,1653
6,11,657,1653
6,12,657,1653
6,13,658,1653
6,14,658,1653
6,15,658,1653
6,16,659,1653
6,17,659,1653
6,18,659,1653
6,19,700,1653
6,20,700,1654
6,21,700,1654
6,22,700,1654
6,23,700,1654
6,24,701,1655
6,25,701,1655
6,26,701,1655
6,27,701,1656
6,28,701,1656
6,29,701,1656
6,30,701,1657
7,1,701,1657
7,2,701,1657
7,3,701,1658
7,4,701,1658
7,5,701,1659
7,6,701,1659
7,7,700,1700
7,8,700,1700
7,9,700,1701
7,10,700,1701
7,11,700,1702
7,12,659,1702
7,13,659,1703
7,14,659,1704
7,15,658,1704
7,16,658,1705
7,17,657,1705
7,18,657,1706
7,19,656,1707
7,20,656,1707
7,21,655,1708
7,22,655,1709
7,23,654,1709
7,24,654,1710
7,25,653,1711
7,26,652,1711
7,27,652,1712
7,28,651,1713
7,29,650,1713
7,30,649,1714
7,31,649,1715
8,1,648,1715
8,2,647,1716
8,3,646,1717
8,4,645,1717
8,5,644,1718
8,6,643,1719
8,7,643,1720
8,8,642,1720
8,9,641,1721
8,10,640,1722
8,11,639,1722
8,12,638,1723
8,13,637,1724
8,14,635,1725
8,15,634,1725
8,16,633,1726
8,17,632,1727
8,18,631,1727
8,19,630,1728
8,20,629,1729
8,21,628,1729
8,22,626,1730
8,23,625,1731
8,24,624,1731
8,25,623,1732
8,26,622,1733
8,27,620,1734
8,28,619,1734
8,29,618,1735
8,30,616,1736
8,31,615,1736
9,1,614,1737
9,2,613,1738
9,3,611,1738
9,4,610,1739
9,5,609,1740
9,6,607,1740
9,7,606,1741
9,8,605,1742
9,9,603,1742
9,10,602,1743
9,11,600,1744
9,12,559,1744
9,13,558,1745
9,14,556,1746
9,15,555,1746
9,16,553,1747
9,17,552,1748
9,18,551,1748
9,19,549,1749
9,20,548,1750
9,21,546,1750
9,22,545,1751
9,23,544,1752
9,24,542,1753
9,25,541,1753
9,26,540,1754
9,27,538,1755
9,28,537,1755
9,29,535,1756
9,30,534,1757
10,1,533,1757
10,2,531,1758
10,3,530,1759
10,4,529,1800
10,5,527,1800
10,6,526,1801
10,7,525,1802
10,8,523,1803
10,9,522,1803
10,10,521,1804
10,11,519,1805
10,12,518,1806
10,13,517,1807
10,14,515,1807
10,15,514,1808
10,16,513,1809
10,17,512,1810
10,18,510,1811
10,19,509,1811
10,20,508,1812
10,21,507,1813
10,22,506,1814
10,23,505,1815
10,24,503,1816
10,25,502,1816
10,26,501,1817
10,27,500,1818
10,28,459,1819
10,29,458,1820
10,30,457,1821
10,31,456,1822
11,1,455,1823
11,2,454,1824
11,3,453,1825
11,4,452,1825
11,5,451,1826
11,6,450,1827
11,7,450,1828
11,8,449,1829
11,9,448,1830
11,10,447,1831
11,11,446,1832
11,12,446,1833
11,13,445,1834
11,14,444,1835
11,15,444,1836
11,16,443,1837
11,17,443,1838
11,18,442,1839
11,19,441,1840
11,20,441,1841
11,21,440,1842
11,22,440,1843
11,23,440,1843
11,24,439,1844
11,25,439,1845
11,26,439,1846
11,27,438,1847
11,28,438,1848
11,29,438,1849
11,30,438,1850
12,1,437,1851
12,2,437,1852
12,3,437,1853
12,4,437,1853
12,5,437,1854
12,6,437,1855
12,7,437,1856
12,8,437,1857
12,9,437,1857
12,10,437,1858
12,11,438,1859
12,12,438,1900
12,13,438,1900
12,14,438,1901
12,15,439,1902
12,16,439,1902
12,17,439,1903
12,18,440,1904
12,19,440,1904
12,20,440,1905
12,21,441,1905
12,22,441,1906
12,23,442,1906
12,24,442,1907
12,25,443,1907
12,26,444,1908
12,27,444,1908
12,28,445,1908
12,29,445,1909
12,30,446,1909
12,31,447,1909